 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310650 BERILO, 310825 BONITO DE MINAS, 311700 COMERCINHO, 311783 CONEGO MARINHO, 311950 CORONEL MURTA, 312650 FRANCISCO BADARO, 312733 GAMELEIRAS, 313065 INDAIABIRA, 313652 JOSE GONCALVES DE MINAS, 313657 JOSENOPOLIS, 313695 JUVENILIA, 314225 MIRAVANIA, 314270 MONTALVANIA, 314537 NOVORIZONTE, 315560 RIO PARDO DE MINAS, 315650 RUBELITA, 315660 RUBIM, 316245 SAO JOAO DAS MISSOES, 317065 VARGEM GRANDE DO RIO PARDO, 317160 VIRGEM DA LAPA
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;-;-;1;1;-;-;2;1;-;3;1;3;2;5;5;4;7;-;35
". 001 Doenças infecciosas intestinais";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;2;-;-;2;-;7
"... 014 Septicemia";-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;2;-;-;2;-;7
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;3;5;4;5;-;24
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;3;5;4;5;-;24
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;-;-;-;1;-;1;-;2;2;2;4;6;8;12;12;18;6;24;-;98
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;3;-;6
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;1;2;-;2;5;3;2;2;-;1;-;18
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;1;-;6
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;3
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;3
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;3;-;6
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;3;1;5;-;14
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;4
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;3
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;2
". 050 Leucemia";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;5
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;1;1;-;-;4;2;1;4;3;2;6;-;24
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;-;-;-;1;-;-;1;-;1;2;2;3;1;3;11;-;26
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;-;1;-;1;2;2;3;1;2;7;-;20
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;3;2;-;1;3;2;2;2;1;-;2;-;19
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;3;2;-;1;3;2;1;1;1;-;1;-;16
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;3;2;-;1;2;2;-;1;1;-;-;-;12
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;-;-;-;1;-;-;-;2;-;1;2;-;-;-;-;1;6;-;14
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;5
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2
". 063 Restante das doenças do sistema nervoso";-;-;1;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;-;2;-;7
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;1;1;1;3;5;5;11;6;15;16;13;16;46;-;139
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;-;1;1;3;2;3;2;1;2;11;-;26
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;7;3;3;2;5;-;23
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;4;2;3;2;5;-;19
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;1;1;1;2;1;1;5;2;3;4;5;5;14;-;45
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;1;3;2;2;1;1;7;4;6;15;-;42
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;3
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;-;1;-;2;-;2;3;1;-;2;3;5;5;2;8;27;-;61
". 074 Pneumonia";-;-;-;-;-;1;-;1;-;-;2;-;-;1;1;2;4;-;6;20;-;38
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;2;2;2;-;11
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;1;-;2;-;1;-;1;-;1;1;-;-;5;-;12
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;1;1;1;3;-;2;1;3;6;2;2;5;-;27
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;1;1;1;1;1;-;10
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;1;-;-;-;5
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;3
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;2;4;1;-;4;-;15
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;4
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;2;-;1;3;-;9
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;2;-;5
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;3
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
". 093 Feto e recemnasc afet fat mat e compl grav";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 094 Transt relac duração gestação e cresc fetal";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 095 Traumatismo de parto";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
". 097 Rest afec originadas no período perinatal";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";1;1;6;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
". 098 Malformações congênitas do sistema nervoso";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;1;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
". 100 Rest de malf cong, deform e anomal Cromoss";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;1;2;1;-;-;1;-;1;2;2;4;7;1;9;5;7;8;6;33;1;91
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 102 Morte sem assistência médica";-;-;-;1;-;-;-;-;1;1;-;1;1;-;1;1;-;-;1;1;1;10
". 103 Rest sint, sin e ach anorm clín e laborat";-;1;2;-;-;-;1;-;-;1;2;3;6;1;8;4;7;8;5;30;-;79
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;-;1;-;1;5;3;8;5;9;6;4;4;3;1;5;2;2;5;-;64
". 104 Acidentes de transporte";-;-;-;-;-;-;1;1;5;3;1;-;1;-;-;-;-;1;-;-;-;13
". 105 Quedas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;1;4;-;8
". 106 Afogamento e submersões acidentais";-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;-;-;1;1;-;1;1;1;-;-;-;3;1;-;1;-;10
". 110 Agressões";-;-;-;-;-;1;3;1;-;1;6;3;1;1;1;-;-;-;-;-;-;18
". 111 Eventos(fatos) cuja intenção é indeterminada";-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;5
". 113 Todas as outras causas externas";-;-;-;-;-;-;-;-;1;-;1;1;-;2;-;-;1;-;1;-;-;7
"Total";15;2;9;2;2;4;8;7;13;20;26;22;26;34;38;47;63;53;49;173;1;614
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
