 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310650 BERILO, 310825 BONITO DE MINAS, 311700 COMERCINHO, 311783 CONEGO MARINHO, 311950 CORONEL MURTA, 312650 FRANCISCO BADARO, 312733 GAMELEIRAS, 313065 INDAIABIRA, 313652 JOSE GONCALVES DE MINAS, 313657 JOSENOPOLIS, 313695 JUVENILIA, 314225 MIRAVANIA, 314270 MONTALVANIA, 314537 NOVORIZONTE, 315560 RIO PARDO DE MINAS, 315650 RUBELITA, 315660 RUBIM, 316245 SAO JOAO DAS MISSOES, 317065 VARGEM GRANDE DO RIO PARDO, 317160 VIRGEM DA LAPA
Sexo: Masc
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;3;-;-;-;1;-;1;-;-;3;1;4;4;6;7;8;3;23;64
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 007-015 Outras doenças bacterianas";-;-;3;-;-;-;-;-;1;-;-;-;-;-;1;1;5;1;1;6;19
"... 014 Septicemia";-;-;3;-;-;-;-;-;1;-;-;-;-;-;1;1;4;1;-;6;17
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;4;-;4;-;4;18
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;3;-;4;-;4;17
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;1;2;1;2;10;20
"032-052 NEOPLASIAS";-;-;-;1;-;-;1;2;1;-;1;2;5;5;15;13;12;17;7;20;102
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;-;-;1;-;-;6
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;3;2;2;-;1;12
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;6
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;6
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;3;1;10
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;7;10
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;-;4
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 050 Leucemia";-;-;-;-;-;-;1;2;1;-;-;-;1;-;1;-;-;1;-;1;8
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;3
". 052 Restante de neoplasias malignas";-;-;-;1;-;-;-;-;-;-;-;-;3;3;6;5;6;3;1;5;33
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;3
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;-;-;1;-;1;-;1;1;3;2;2;1;3;12;27
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;1;1;3;9;20
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;3
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2;4
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;1;1;3;2;1;3;1;1;4;1;1;2;21
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;1;1;2;2;1;3;1;1;4;-;1;1;18
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;1;1;2;2;1;3;1;1;4;-;1;-;17
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;1;1;-;2;-;-;2;2;5;3;3;-;1;7;28
". 060 Meningite";-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;2
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;7;8
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;1;-;-;2;1;3;1;-;-;-;-;8
". 063 Restante das doenças do sistema nervoso";-;-;-;1;-;-;-;1;-;-;-;-;-;1;2;2;2;-;1;-;10
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;-;-;3;2;7;3;8;13;17;10;19;31;70;183
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;1;-;-;3;3;5;4;3;7;22;48
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;1;-;2;1;2;4;4;2;4;7;11;38
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;1;-;2;1;2;3;3;2;4;7;11;36
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;2;1;2;1;1;1;5;2;6;9;17;47
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;2;1;2;5;3;2;6;7;16;44
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;4;6
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;1;-;-;-;2;-;2;-;2;3;2;7;1;4;10;12;33;79
". 073 Influenza (gripe)";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 074 Pneumonia";-;-;-;1;-;-;-;2;-;1;-;2;3;-;5;1;1;4;4;15;39
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;5;3;13;23
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;1;5;5;16
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;-;1;1;5;3;2;1;4;-;5;2;6;7;37
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;-;1;3;2;1;-;1;-;2;1;1;2;14
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;1;2;1;1;-;1;-;2;-;1;-;9
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;3
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
