 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220045 ALVORADA DO GURGUEIA, 220110 AVELINO LOPES, 220117 BARRA D'ALCANTARA, 220130 BARREIRAS DO PIAUI, 220155 BELA VISTA DO PIAUI, 220170 BERTOLINIA, 220211 CAMPO ALEGRE DO FIDALGO, 220225 CANAVIEIRA, 220245 CAPITAO GERVASIO OLIVEIRA, 220275 COLONIA DO GURGUEIA, 220300 CRISTALANDIA DO PIAUI, 220310 CRISTINO CASTRO, 220320 CURIMATA, 220323 CURRAIS, 220360 ELISEU MARTINS, 220380 FLORES DO PIAUI, 220400 FRANCINOPOLIS, 220440 GILBUES, 220455 GUARIBAS, 220545 JOCA MARQUES, 220552 JULIO BORGES, 220560 LANDRI SALES, 220585 MADEIRO, 220590 MANOEL EMIDIO, 220660 MONTE ALEGRE DO PIAUI, 220665 MORRO CABECA NO TEMPO, 220667 MORRO DO CHAPEU DO PIAUI, 220730 PAES LANDIM, 220735 PAJEU DO PIAUI, 220740 PALMEIRA DO PIAUI, 220760 PARNAGUA, 220785 PAVUSSU, 220793 PEDRO LAURENTINO, 220810 PIMENTEIRAS, 220870 REDENCAO DO GURGUEIA, 220885 RIACHO FRIO, 220887 RIBEIRA DO PIAUI, 220900 RIO GRANDE DO PIAUI, 220930 SANTA LUZ, 220965 SAO FRANCISCO DE ASSIS DO PIAUI, 220975 SAO GONCALO DO GURGUEIA, 221010 SAO JOSE DO PEIXE, 221039 SAO MIGUEL DO FIDALGO, 221062 SEBASTIAO BARROS, 221063 SEBASTIAO LEAL, 221090 SOCORRO DO PIAUI
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;2;-;-;-;-;1;2;3;6;9;8;12;12;16;18;23;18;51;181
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 007-015 Outras doenças bacterianas";-;1;-;-;-;-;1;-;-;-;1;-;2;-;1;2;1;1;4;14
"... 014 Septicemia";-;1;-;-;-;-;1;-;-;-;1;-;2;-;-;2;1;1;4;13
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;2;1;-;4;10
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;1;-;4;9
". 031 Restante algumas doenç infec e parasitárias";-;1;-;-;-;-;-;1;3;6;6;7;9;11;15;13;21;17;42;152
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;1;1;2;-;5;5;11;12;15;19;16;32;119
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;4
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;1;1;-;6
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;2;-;4;11
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;4
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;-;-;5
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;3;1;9
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;6;4;13;27
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;2;-;1;7
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;-;5
". 050 Leucemia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;1;-;2;2;3;3;2;1;3;12;29
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;-;-;3;7
". 053 Anemias";-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;3
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;4
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";1;1;1;-;1;-;-;2;-;3;-;3;3;3;3;7;3;9;6;46
". 055 Diabetes mellitus";-;-;-;-;1;-;-;2;-;3;-;3;3;3;2;5;3;8;6;39
". 056 Desnutrição";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 057 Rest doenças endócr, nutricion e metabólicas";1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;6
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;1;1;1;2;5;2;3;1;1;3;1;22
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;1;1;1;1;5;2;2;1;1;3;1;20
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;1;1;1;1;4;2;2;-;1;2;1;17
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;1;1;-;-;-;-;-;-;3;-;2;2;-;-;2;3;12;26
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;8
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;3;-;1;1;-;-;-;-;-;5
". 063 Restante das doenças do sistema nervoso";-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;-;1;3;5;13
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;1;-;-;1;1;-;1;4;6;6;4;8;14;18;38;30;42;124;298
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;1;1;-;-;5;3;4;7;4;33;58
". 068 Doenças isquêmicas do coração";-;-;-;-;1;-;-;1;2;4;3;2;6;4;12;21;11;21;40;128
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;1;-;-;1;2;4;2;2;6;3;10;18;10;21;38;118
". 069 Outras doenças cardíacas";-;1;-;-;-;1;-;-;2;1;-;-;1;1;2;3;3;6;16;37
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;2;1;1;3;-;10;8;10;32;67
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;3;7
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;-;-;1;-;1;-;-;2;-;3;4;5;2;4;7;7;27;63
". 074 Pneumonia";-;-;-;-;1;-;1;-;-;2;-;3;4;3;1;4;6;5;19;49
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
"... 075.1 Bronquiolite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;6
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;3;6
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;-;-;-;-;2;1;4;1;3;6;2;-;4;5;3;8;39
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;3
". 079 Peritonite";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;1;1;4;1;2;6;1;-;2;-;-;2;20
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;3;-;2;3;1;-;1;-;-;-;10
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;2;6
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;4
". 082 Rest doenças do aparelho digestivo";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2;3;3;5;15
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;4;10
". 086 Insuficiência renal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;6
". 087 Rest doenças do aparelho geniturinário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;1;4
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";9;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
". 093 Feto e recemnasc afet fat mat e compl grav";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 094 Transt relac duração gestação e cresc fetal";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 096 Trans resp e cardiovas espec per perinatal";4;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
". 097 Rest afec originadas no período perinatal";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 099 Malf congênitas do aparelho circulatório";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";-;1;2;-;-;-;1;1;3;5;6;6;3;10;5;7;7;8;37;102
". 101 Senilidade";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8
". 102 Morte sem assistência médica";-;1;-;-;-;-;1;-;2;3;1;4;1;5;2;5;2;3;10;40
". 103 Rest sint, sin e ach anorm clín e laborat";-;-;2;-;-;-;-;1;1;2;5;2;2;5;3;2;5;5;19;54
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";-;-;1;2;-;3;18;9;17;20;12;15;8;6;8;5;5;2;4;135
". 104 Acidentes de transporte";-;-;-;1;-;1;10;3;10;7;8;6;2;3;6;4;1;-;-;62
". 105 Quedas";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;3
". 106 Afogamento e submersões acidentais";-;-;1;1;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;6
". 108 Envenen, intoxic por ou expos a subst nociv";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2
". 109 Lesões autoprovocadas voluntariamente";-;-;-;-;-;1;4;-;2;4;1;5;4;-;-;1;-;1;-;23
". 110 Agressões";-;-;-;-;-;1;4;5;3;7;3;1;1;1;2;-;1;1;-;30
