 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 270030 ARAPIRACA, 270240 DELMIRO GOUVEIA, 270630 PALMEIRA DOS INDIOS, 270800 SANTANA DO IPANEMA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;4;1;1;-;-;-;1;1;2;-;2;2;3;4;3;6;6;21;58
". 001 Doenças infecciosas intestinais";-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;6;16
"... 003 Diarréia e gastroenterite orig infec pres";-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;6;14
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;1;1;1;-;-;-;1;-;-;-;1;1;3;2;2;4;2;14;33
"... 013 Infecção meningocócica";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;-;1;1;-;-;-;1;-;-;-;1;1;2;2;1;4;2;10;26
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;4
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;-;4
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;3
"032-052 NEOPLASIAS";-;-;-;-;-;1;2;1;-;1;9;5;11;8;15;19;15;15;18;23;143
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;1;5
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;1;-;1;-;6
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;3;9
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;1;4;10
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;2;1;5;2;15
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;1;-;-;-;-;4;2;2;3;-;2;-;1;15
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;-;5;1;1;-;1;3;1;1;1;-;14
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;1;1;-;1;1;-;-;-;-;-;3;7
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;2;-;1;-;-;7
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;1;-;-;-;-;-;1;1;-;2;-;2;-;-;-;7
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 050 Leucemia";-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;1;-;5
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;1;1;2;2;1;-;-;2;1;-;10
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;1;-;-;-;-;-;-;1;3;4;3;1;5;7;25
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;4
". 053 Anemias";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;3
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;-;-;1;2;1;1;2;1;6;4;11;12;15;14;32;42;144
". 055 Diabetes mellitus";-;-;-;-;-;-;1;1;1;-;2;-;5;4;10;12;14;13;29;37;129
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;4;7
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;1;2;1;8
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;1;-;4;9
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;1;-;3;8
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;-;-;4
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;1;-;3;1;4;13
