 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 270030 ARAPIRACA, 270240 DELMIRO GOUVEIA, 270630 PALMEIRA DOS INDIOS, 270800 SANTANA DO IPANEMA
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;1;1;1;-;-;1;1;3;1;5;5;2;2;2;6;7;4;17;60
". 001 Doenças infecciosas intestinais";-;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;4;10
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;4;10
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;3
". 007-015 Outras doenças bacterianas";-;1;-;-;1;-;-;-;-;1;1;2;1;-;1;1;4;7;2;10;32
"... 014 Septicemia";-;-;-;-;1;-;-;-;-;1;1;2;1;-;1;1;3;5;2;10;28
"... 015 Infecções com transmissão predom sexual";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;1;1;1;-;2;-;1;-;1;1;-;-;-;8
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;1;1;-;1;-;1;-;1;1;-;-;-;7
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;2
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;3;5
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;3;5
"032-052 NEOPLASIAS";-;-;-;2;-;-;-;1;2;1;1;4;5;17;12;23;23;24;22;26;163
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;1;4;1;3;1;1;2;2;16
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;1;-;-;7
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;-;-;1;1;3;1;2;1;-;2;12
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;1;-;6
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;2;-;1;8
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;1;4
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;5
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;4;3;3;2;6;21
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3;5;9;9;30
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;1;1;-;1;7
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;-;-;-;5
". 050 Leucemia";-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;1;7
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;1;-;5
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;1;-;-;-;2;-;3;2;7;2;3;4;3;27
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;1;5
". 053 Anemias";-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;-;1;5
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;-;1;-;1;2;-;1;2;4;7;8;7;7;13;17;17;21;108
". 055 Diabetes mellitus";-;-;-;-;-;-;1;-;-;1;2;2;6;6;6;5;12;16;15;15;87
". 056 Desnutrição";-;-;-;-;-;-;-;2;-;-;-;1;-;2;1;-;-;-;-;6;12
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;2;1;1;2;-;9
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;1;3;-;3;7;3;4;4;2;2;2;31
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;1;3;-;3;6;2;4;4;2;2;1;28
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;1;3;-;3;5;2;4;3;-;2;-;23
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;3
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;1;1;2;2;1;2;-;3;1;-;1;1;2;1;1;10;29
". 060 Meningite";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;8;10
". 062 Epilepsia";-;-;-;-;-;-;1;-;-;1;-;2;1;-;-;-;1;-;-;-;6
". 063 Restante das doenças do sistema nervoso";-;-;-;-;1;-;1;2;1;1;-;1;-;-;1;1;1;-;-;2;12
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;-;1;-;1;4;5;12;14;23;25;42;50;62;104;343
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;1;-;-;-;-;3;1;6;2;5;12;8;25;63
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;2;2;6;6;4;8;8;14;15;14;79
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;2;2;6;4;4;8;5;12;12;11;66
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;1;2;2;1;-;7;5;9;7;13;14;61
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;-;-;-;-;1;2;6;6;9;18;17;26;49;134
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;2;6
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;-;-;-;-;-;-;-;3;1;2;4;3;11;12;13;21;55;126
". 074 Pneumonia";-;-;1;-;-;-;-;-;-;-;-;-;2;2;-;3;8;9;12;28;65
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;4;5;18;34
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;-;-;-;-;-;-;3;1;-;2;3;4;1;-;4;9;27
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;1;-;-;-;-;2;2;6;4;6;8;2;8;16;7;10;5;11;88
