 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 270030 ARAPIRACA, 270240 DELMIRO GOUVEIA, 270630 PALMEIRA DOS INDIOS, 270800 SANTANA DO IPANEMA
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;2;-;-;1;2;3;6;7;14;18;21;25;27;49;51;50;86;-;362
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;4
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;4
". 005-006 Tuberculose";-;-;-;-;-;-;1;-;-;1;1;2;1;1;1;1;-;-;1;1;-;11
"... 005 Tuberculose respiratória";-;-;-;-;-;-;1;-;-;1;1;2;1;1;1;1;-;-;1;1;-;11
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;1;1;1;1;2;4;1;3;5;5;2;11;-;37
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;1;1;1;2;3;1;3;4;3;2;9;-;31
". 016-023 Doenças virais";-;-;-;-;-;-;-;1;-;1;-;2;-;1;-;-;1;-;-;-;-;6
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;-;1;-;2;-;1;-;-;-;-;-;-;-;5
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"... 025 Leishmaniose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 028-030 Helmintíases";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;1;-;5
"... 028 Esquistossomose";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;1;-;5
". 031 Restante algumas doenç infec e parasitárias";-;-;-;1;-;-;-;-;2;3;5;9;13;15;20;22;42;46;46;73;-;297
"032-052 NEOPLASIAS";-;-;1;-;2;-;1;-;1;2;4;5;7;9;12;24;16;19;20;32;-;155
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;1;3;-;-;1;-;9
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;4
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;2;1;1;3;3;-;13
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;2;1;-;3;-;9
