 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290320 BARREIRAS, 290390 BOM JESUS DA LAPA, 290460 BRUMADO, 290687 CAPIM GROSSO, 290720 CASA NOVA, 290840 CONCEICAO DO COITE, 291080 FEIRA DE SANTANA, 291170 GUANAMBI, 291460 IRECE, 291470 ITABERABA, 291580 ITAMBE, 291640 ITAPETINGA, 291680 ITARANTIM, 291710 ITORORO, 291750 JACOBINA, 291760 JAGUAQUARA, 291800 JEQUIE, 291840 JUAZEIRO, 291970 MACARANI, 292400 PAULO AFONSO, 292510 POCOES, 292660 RIBEIRA DO POMBAL, 292810 SANTA MARIA DA VITORIA, 292905 SAO FELIX DO CORIBE, 293010 SENHOR DO BONFIM, 293050 SERRINHA, 293077 SOBRADINHO, 293330 VITORIA DA CONQUISTA, 293360 XIQUE-XIQUE
Sexo: Fem
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;17;3;3;2;2;1;5;13;6;20;19;13;13;20;30;17;42;112;338
". 001 Doenças infecciosas intestinais";-;-;4;-;1;2;-;-;1;1;-;-;-;2;-;1;5;1;5;30;53
"... 003 Diarréia e gastroenterite orig infec pres";-;-;4;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;4;19;31
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;5;1;1;11;22
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;-;1;1;7
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;1;5
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 007-015 Outras doenças bacterianas";-;-;12;2;-;-;2;1;-;4;3;6;3;4;7;9;18;11;26;70;178
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 013 Infecção meningocócica";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;12;1;-;-;2;1;-;4;2;6;3;3;5;7;17;10;21;55;149
". 016-023 Doenças virais";-;-;-;1;2;-;-;-;3;8;2;10;10;4;2;2;3;2;1;4;54
"... 018 Dengue";-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;4
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;1;1;1;1;8
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;2;8;2;8;8;2;2;1;1;1;-;2;37
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;1;-;1;2;4;1;1;6;1;2;8;6;33
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;3
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;1;-;1;2;3;1;1;5;1;2;8;5;30
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;1;1;1;8
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;1;6
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;5
"032-052 NEOPLASIAS";2;-;2;3;3;5;6;4;10;23;33;56;57;107;122;119;127;141;118;241;1179
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;4;3;7;1;9;27
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;7;3;2;2;2;22
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;-;4;2;7;9;8;9;5;13;23;81
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;-;3;3;3;7;9;9;9;5;11;24;84
