 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290320 BARREIRAS, 290390 BOM JESUS DA LAPA, 290460 BRUMADO, 290687 CAPIM GROSSO, 290720 CASA NOVA, 290840 CONCEICAO DO COITE, 291080 FEIRA DE SANTANA, 291170 GUANAMBI, 291460 IRECE, 291470 ITABERABA, 291580 ITAMBE, 291640 ITAPETINGA, 291680 ITARANTIM, 291710 ITORORO, 291750 JACOBINA, 291760 JAGUAQUARA, 291800 JEQUIE, 291840 JUAZEIRO, 291970 MACARANI, 292400 PAULO AFONSO, 292510 POCOES, 292660 RIBEIRA DO POMBAL, 292810 SANTA MARIA DA VITORIA, 292905 SAO FELIX DO CORIBE, 293010 SENHOR DO BONFIM, 293050 SERRINHA, 293077 SOBRADINHO, 293330 VITORIA DA CONQUISTA, 293360 XIQUE-XIQUE
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;11;5;3;2;5;13;15;43;45;84;102;114;134;159;172;197;175;460;-;1739
". 001 Doenças infecciosas intestinais";-;-;-;1;-;1;-;-;-;-;-;2;-;-;-;3;3;2;3;15;-;30
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;3;-;-;7;-;14
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;2;3;8;-;16
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;1;2;1;1;-;2;2;4;3;3;-;5;-;24
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;1;2;1;1;-;2;1;4;3;3;-;4;-;22
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2
". 007-015 Outras doenças bacterianas";-;-;7;1;1;-;2;3;1;1;1;4;6;7;7;10;12;21;24;76;-;184
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;1;-;4
"... 014 Septicemia";-;-;5;1;1;-;2;3;1;1;-;4;4;7;7;8;12;18;17;59;-;150
