 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 290320 BARREIRAS, 290390 BOM JESUS DA LAPA, 290460 BRUMADO, 290687 CAPIM GROSSO, 290720 CASA NOVA, 290840 CONCEICAO DO COITE, 291080 FEIRA DE SANTANA, 291170 GUANAMBI, 291460 IRECE, 291470 ITABERABA, 291580 ITAMBE, 291640 ITAPETINGA, 291680 ITARANTIM, 291710 ITORORO, 291750 JACOBINA, 291760 JAGUAQUARA, 291800 JEQUIE, 291840 JUAZEIRO, 291970 MACARANI, 292400 PAULO AFONSO, 292510 POCOES, 292660 RIBEIRA DO POMBAL, 292810 SANTA MARIA DA VITORIA, 292905 SAO FELIX DO CORIBE, 293010 SENHOR DO BONFIM, 293050 SERRINHA, 293077 SOBRADINHO, 293330 VITORIA DA CONQUISTA, 293360 XIQUE-XIQUE
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;12;2;5;-;1;5;12;13;18;32;24;38;30;24;38;43;29;69;-;396
". 001 Doenças infecciosas intestinais";-;-;2;1;1;-;-;-;-;-;1;2;-;-;-;1;3;3;3;13;-;30
"... 003 Diarréia e gastroenterite orig infec pres";-;-;2;-;1;-;-;-;-;-;1;1;-;-;-;-;2;1;3;12;-;23
"... 004 Outras doenças infecciosas intestinais";-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;1;2;-;1;-;7
". 005-006 Tuberculose";-;-;-;-;-;-;-;2;1;1;2;6;7;6;1;3;4;2;2;4;-;41
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;2;1;1;2;6;6;6;1;3;4;2;2;4;-;40
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;1;10;1;4;-;-;-;3;3;5;3;7;8;13;13;17;24;19;38;-;169
"... 008 Leptospirose";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;3
"... 010 Tétano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
