 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230110 ARACATI, 230190 BARBALHA, 230250 BREJO SANTO, 230260 CAMOCIM, 230280 CANINDE, 230350 CASCAVEL, 230370 CAUCAIA, 230410 CRATEUS, 230420 CRATO, 230435 FORQUILHA, 230523 HORIZONTE, 230550 IGUATU, 230630 ITAPAGE, 230640 ITAPIPOCA, 230730 JUAZEIRO DO NORTE, 230760 LIMOEIRO DO NORTE, 230770 MARANGUAPE, 230960 PACAJUS, 231130 QUIXADA, 231140 QUIXERAMOBIM, 231180 RUSSAS, 231290 SOBRAL, 231340 TIANGUA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;7;4;-;-;-;-;6;6;14;7;8;8;14;9;14;31;29;116;-;274
". 001 Doenças infecciosas intestinais";-;1;4;2;-;-;-;-;-;-;-;-;2;-;4;-;2;8;8;25;-;56
"... 003 Diarréia e gastroenterite orig infec pres";-;-;2;1;-;-;-;-;-;-;-;-;-;-;2;-;1;7;2;23;-;38
"... 004 Outras doenças infecciosas intestinais";-;1;2;1;-;-;-;-;-;-;-;-;2;-;2;-;1;1;6;2;-;18
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;2;1;1;5;-;12
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;2;1;1;5;-;12
". 007-015 Outras doenças bacterianas";-;-;1;1;-;-;-;-;3;1;1;3;2;5;3;6;8;16;18;71;-;139
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 013 Infecção meningocócica";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;1;1;-;-;-;-;2;1;-;3;2;2;2;4;6;9;15;47;-;95
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 016-023 Doenças virais";-;-;1;1;-;-;-;-;2;3;11;4;2;2;3;2;1;4;2;7;-;45
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;2;1;2;2;7;-;18
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;2;3;8;3;2;1;2;-;-;1;-;-;-;22
