 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230110 ARACATI, 230190 BARBALHA, 230250 BREJO SANTO, 230260 CAMOCIM, 230280 CANINDE, 230350 CASCAVEL, 230370 CAUCAIA, 230410 CRATEUS, 230420 CRATO, 230435 FORQUILHA, 230523 HORIZONTE, 230550 IGUATU, 230630 ITAPAGE, 230640 ITAPIPOCA, 230730 JUAZEIRO DO NORTE, 230760 LIMOEIRO DO NORTE, 230770 MARANGUAPE, 230960 PACAJUS, 231130 QUIXADA, 231140 QUIXERAMOBIM, 231180 RUSSAS, 231290 SOBRAL, 231340 TIANGUA
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;12;2;1;1;4;7;7;19;26;36;41;66;76;101;123;180;185;562;1449
". 001 Doenças infecciosas intestinais";-;-;3;-;-;-;1;1;-;1;1;-;-;2;2;1;3;3;3;14;35
"... 003 Diarréia e gastroenterite orig infec pres";-;-;3;-;-;-;1;1;-;1;1;-;-;2;2;-;3;2;1;12;29
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;2;6
". 005-006 Tuberculose";-;-;-;-;-;-;-;2;-;-;1;2;1;-;-;-;-;-;1;3;10
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;2;-;-;1;1;1;-;-;-;-;-;1;3;9
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";-;-;3;-;1;-;1;-;1;3;-;2;5;7;4;8;9;15;15;60;134
"... 008 Leptospirose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 014 Septicemia";-;-;3;-;1;-;-;-;1;3;-;2;5;4;4;6;8;12;12;43;104
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;3;2;4;4;5;3;4;1;2;-;1;1;30
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;3
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;3;2;2;3;4;1;3;-;2;-;-;-;20
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;4;1;1;1;3;13
"... 025 Leishmaniose";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2;-;1;-;1;6
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;2;7
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;6;1;-;-;2;4;3;13;20;28;30;54;64;87;108;161;164;481;1226
"032-052 NEOPLASIAS";-;-;1;3;8;2;2;5;9;19;29;54;61;97;111;124;141;141;111;287;1205
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;2;2;3;12;24
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;-;4;3;11;25
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;2;2;1;2;7;7;6;10;9;5;5;15;71
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;-;3;1;5;8;5;3;6;10;10;23;75
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;1;-;-;3;1;3;3;6;4;10;5;6;11;53
