 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 230110 ARACATI, 230190 BARBALHA, 230250 BREJO SANTO, 230260 CAMOCIM, 230280 CANINDE, 230350 CASCAVEL, 230370 CAUCAIA, 230410 CRATEUS, 230420 CRATO, 230435 FORQUILHA, 230523 HORIZONTE, 230550 IGUATU, 230630 ITAPAGE, 230640 ITAPIPOCA, 230730 JUAZEIRO DO NORTE, 230760 LIMOEIRO DO NORTE, 230770 MARANGUAPE, 230960 PACAJUS, 231130 QUIXADA, 231140 QUIXERAMOBIM, 231180 RUSSAS, 231290 SOBRAL, 231340 TIANGUA
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";2;-;8;3;-;3;1;1;10;12;12;20;16;16;18;22;28;30;36;93;-;331
". 001 Doenças infecciosas intestinais";-;-;2;2;-;-;-;-;-;-;1;1;1;2;1;2;2;1;2;25;-;42
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;1;-;-;-;-;-;-;-;1;1;1;1;2;2;1;1;20;-;32
"... 004 Outras doenças infecciosas intestinais";-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;5;-;10
". 005-006 Tuberculose";-;-;-;-;-;-;1;1;1;3;2;6;-;4;2;2;2;5;2;5;-;36
"... 005 Tuberculose respiratória";-;-;-;-;-;-;1;-;1;3;2;5;-;4;2;2;2;5;2;5;-;34
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;2
". 007-015 Outras doenças bacterianas";2;-;5;1;-;2;-;-;2;1;3;5;4;5;8;14;18;18;26;54;-;168
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
"... 013 Infecção meningocócica";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;3;-;-;2;-;-;2;1;3;5;4;3;6;11;13;12;16;42;-;123
"... 015 Infecções com transmissão predom sexual";2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 016-023 Doenças virais";-;-;-;-;-;1;-;-;7;7;6;8;7;4;6;2;2;2;1;2;-;55
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;1;-;-;5
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;3
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;7;6;6;8;6;3;5;1;-;2;-;1;-;45
". 024-027 Doenças transmitidas por protozoários";-;-;1;-;-;-;-;-;-;-;-;-;4;1;1;2;4;2;4;5;-;24
"... 025 Leishmaniose";-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;2;1;-;1;1;-;9
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;3;2;3;4;-;15
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;-;5
"032-052 NEOPLASIAS";-;-;-;6;3;5;5;5;16;13;21;22;46;81;97;128;151;164;157;250;-;1170
