 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210150 BARAO DE GRAJAU, 210300 CAXIAS, 211220 TIMON
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;3;1;-;-;1;2;4;5;8;12;10;18;22;23;29;35;36;57;266
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;3;4;5;14
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;4
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;3;2;3;10
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;4
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;4
". 007-015 Outras doenças bacterianas";-;-;2;-;-;-;-;-;-;-;-;1;1;1;2;-;-;1;2;3;13
"... 014 Septicemia";-;-;2;-;-;-;-;-;-;-;-;1;1;1;2;-;-;1;1;2;11
". 016-023 Doenças virais";-;-;1;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;5
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;4
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 025 Leishmaniose";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;1;2;4;3;6;10;8;16;18;23;29;31;29;49;229
"032-052 NEOPLASIAS";-;-;-;2;-;-;1;-;2;4;6;16;10;10;14;16;10;18;8;29;146
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;3
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;3
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;-;2;7
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;4;1;-;2;-;9
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;3;-;2;8
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;1;3;-;-;3;-;-;3;1;3;14
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;1;1;3;4;4;-;1;-;2;3;3;22
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;2;-;5;3;1;3;1;1;2;-;3;21
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;1;5
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;3
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;4
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;-;-;-;2;7
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 050 Leucemia";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2
". 052 Restante de neoplasias malignas";-;-;-;1;-;-;-;-;-;1;-;3;1;2;2;3;6;3;1;7;30
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;2;-;-;1;-;-;-;1;-;-;-;-;2;1;1;-;-;2;10
". 053 Anemias";-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;1;5
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;5
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;1;1;-;3;4;1;3;12;15;18;25;24;65;173
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;3;4;1;3;9;14;16;24;22;57;154
". 056 Desnutrição";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;3;1;2;1;2;5;15
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;4
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;2;-;1;-;-;-;-;-;1;1;1;-;1;2;10;20
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;9;12
". 062 Epilepsia";-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3
". 063 Restante das doenças do sistema nervoso";-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;1;5
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;2;-;-;-;-;1;1;4;5;10;13;18;23;26;37;115;255
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;1;1;-;1;2;3;2;6;10;9;42;77
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;8;6;4;6;13;43
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;7;5;4;5;11;38
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;1;-;4;2;1;2;4;9;15;38
". 070 Doenças cerebrovasculares";-;-;-;-;2;-;-;-;-;-;-;3;3;2;4;6;8;8;13;39;88
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;5;8
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;1;1;1;-;-;1;-;-;-;-;-;1;2;6;2;13;15;49;92
". 074 Pneumonia";-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;2;1;7;10;33;57
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;6;1;9;20
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3
". 077 Restante  doenças do aparelho respiratório";-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;1;-;4;6;14
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;-;2;1;-;-;-;1;-;1;2;1;-;2;3;2;1;4;6;26
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
