 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210150 BARAO DE GRAJAU, 210300 CAXIAS, 211220 TIMON
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;2;-;-;-;1;1;3;1;4;4;2;8;5;8;17;8;32;-;96
". 001 Doenças infecciosas intestinais";-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;4;1;5;-;13
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;5
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2;-;4;-;8
". 005-006 Tuberculose";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;3
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;3
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;-;-;-;-;1;1;-;3;4;1;5;3;7;-;26
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 014 Septicemia";-;-;1;-;-;-;-;-;-;-;1;1;-;3;1;1;4;3;6;-;21
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;2;-;3;3;1;-;1;-;-;-;-;-;10
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;2;-;3;3;1;-;1;-;-;-;-;-;10
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 027 Toxoplasmose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;1;1;-;-;1;4;-;5;8;4;19;-;43
"032-052 NEOPLASIAS";-;-;-;-;-;-;-;-;3;3;7;12;10;11;17;16;8;17;30;-;134
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;4
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;3
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;-;-;2;-;7
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;2;2;-;7
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;1;-;-;-;2;4;-;4;2;5;4;-;22
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;1;-;3;1;1;1;3;4;1;2;2;-;19
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;1;1;5;1;4;1;2;2;2;5;-;24
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;1;2;1;1;-;2;-;-;2;-;9
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;2;-;-;3;-;-;-;1;-;6
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;4
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;1;-;-;1;2;-;5;1;1;4;6;-;21
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;1;-;-;-;1;-;2;-;-;2;-;-;-;1;-;-;-;-;7
". 053 Anemias";-;-;1;-;-;-;1;-;1;-;-;2;-;-;-;1;-;-;-;-;6
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;1;1;2;3;3;6;8;14;19;17;20;68;-;163
". 055 Diabetes mellitus";-;-;-;-;-;-;-;1;1;2;2;1;6;8;13;18;17;18;58;-;145
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;4
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;-;-;1;2;-;-;1;1;-;2;6;-;14
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2;2;3;-;9
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;1;3;-;7
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;3
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
