 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 210150 BARAO DE GRAJAU, 210300 CAXIAS, 211220 TIMON
Sexo: Masc
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;2;-;1;-;1;4;4;21;13;15;17;18;36;28;29;40;37;73;-;339
". 001 Doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;5;-;10
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;4;-;8
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;2;-;5
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;3
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;2;-;1;-;-;2;3;-;1;1;6;4;4;-;24
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 010 Tétano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"..... 010.3 Tétano acidental";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;2;-;1;-;-;2;2;-;1;1;3;4;2;-;18
". 016-023 Doenças virais";-;-;-;-;-;-;1;1;1;2;1;1;2;1;3;-;-;-;1;-;-;14
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;1;1;1;2;1;1;2;1;3;-;-;-;-;-;-;13
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;1;-;-;1;3;18;12;14;13;13;31;25;27;33;30;62;-;284
"032-052 NEOPLASIAS";-;-;-;-;-;1;-;4;1;-;1;5;6;4;12;12;14;17;10;38;-;125
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;1;-;-;1;-;7
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;4
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;1;-;-;-;-;1;1;3;-;1;2;-;3;-;12
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;2;-;-;1;-;8
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;3
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;1;-;2;2;7;-;16
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;4;5;15;-;29
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;3
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;3
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
". 050 Leucemia";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;1;-;1;-;6
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;3
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;4;6;1;6;-;22
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;1;-;1;-;-;-;-;2;-;-;1;1;2;1;-;-;-;9
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;2;-;-;-;-;6
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;-;-;1;-;2;3;5;4;5;18;17;13;11;26;-;106
". 055 Diabetes mellitus";-;-;-;-;-;-;-;-;1;-;2;2;4;4;5;17;15;13;10;24;-;97
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;3
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;1;-;6
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;1;1;2;-;7;5;1;3;1;3;1;1;1;-;27
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;1;1;2;-;6;5;1;3;1;2;1;1;1;-;25
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;2;-;2;4;1;2;1;-;1;1;-;-;14
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;1;-;2;2;-;-;1;2;-;-;1;1;-;-;2;5;-;18
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 062 Epilepsia";-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;1;-;-;-;-;-;4
". 063 Restante das doenças do sistema nervoso";-;-;-;1;1;-;2;1;-;-;1;1;-;-;-;-;-;-;2;3;-;12
"066-072 DOENÇAS DO APARELHO CIRCULATÓRIO";-;-;-;-;-;-;1;1;-;3;8;13;4;18;24;19;32;43;67;97;-;330
". 066 Febre reumát aguda e doen reum crôn coração";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2
". 067 Doenças hipertensivas";-;-;-;-;-;-;-;-;-;-;2;1;2;2;9;3;10;7;25;30;-;91
". 068 Doenças isquêmicas do coração";-;-;-;-;-;-;1;-;-;1;1;3;1;5;5;6;5;10;15;12;-;65
"... 068.1 Infarto agudo do miocárdio";-;-;-;-;-;-;1;-;-;1;1;3;1;5;5;6;5;9;14;10;-;61
". 069 Outras doenças cardíacas";-;-;-;-;-;-;-;-;-;-;-;1;-;4;4;3;4;4;8;20;-;48
". 070 Doenças cerebrovasculares";-;-;-;-;-;-;-;1;-;1;5;8;1;7;6;7;13;20;19;29;-;117
". 072 Rest doenças do aparelho circulatório";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5;-;7
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";-;-;3;1;-;-;-;1;2;2;5;3;2;3;2;6;7;11;12;31;1;92
". 074 Pneumonia";-;-;2;1;-;-;-;-;1;-;2;3;1;1;2;4;4;5;6;21;1;54
". 075 Out infec agudas das vias aéreas inferiores";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2
". 076 Doenças crônicas das vias aéreas inferiores";-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;1;3;4;8;-;20
"... 076.1 Asma";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 077 Restante  doenças do aparelho respiratório";-;-;1;-;-;-;-;-;1;-;3;-;-;2;-;1;1;3;2;2;-;16
"078-082 DOENÇAS DO APARELHO DIGESTIVO";-;-;2;-;-;-;1;-;4;3;2;6;12;6;10;3;5;7;5;13;1;80
". 078 Úlcera gástrica, duodenal e péptica";-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;4;1;9
". 079 Peritonite";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
". 080 Doenças do fígado";-;-;-;-;-;-;-;-;1;2;-;4;9;3;8;-;-;4;2;1;-;34
"... 080.1 Doença alcoólica do fígado";-;-;-;-;-;-;-;-;-;1;-;2;7;-;5;-;-;2;1;1;-;19
"... 080.2 Fibrose e cirrose do fígado";-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;1;1;-;-;5
"... 080.3 Outras doenças do fígado";-;-;-;-;-;-;-;-;1;1;-;1;2;2;2;-;-;1;-;-;-;10
". 081 Colecistite";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 082 Rest doenças do aparelho digestivo";-;-;2;-;-;-;1;-;1;1;2;1;1;3;2;3;4;3;3;8;-;35
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";-;-;1;-;-;-;-;-;-;1;-;1;1;1;-;-;-;2;1;1;-;9
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";-;-;-;-;-;1;-;-;-;-;2;-;-;-;1;1;1;-;1;2;-;9
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";-;-;-;-;-;-;1;-;-;3;-;-;2;1;3;4;4;3;2;9;-;32
". 085 D glomerulares e d renais túbulo-interstic";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2
". 086 Insuficiência renal";-;-;-;-;-;-;1;-;-;2;-;-;1;1;2;3;2;3;1;5;-;21
