 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310170 ALMENARA, 310730 BOCAIUVA, 310940 BURITIZEIRO, 312770 GOVERNADOR VALADARES, 313210 ITACARAMBI, 313510 JANAUBA, 313520 JANUARIA, 314330 MONTES CLAROS, 314430 NANUQUE, 314435 NAQUE, 314505 NOVA PORTEIRINHA, 314870 PEDRA AZUL, 315120 PIRAPORA, 315700 SALINAS, 316110 SAO FRANCISCO, 316800 TAIOBEIRAS, 316860 TEOFILO OTONI, 317080 VARZEA DA PALMA
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";2;2;5;2;-;-;-;1;7;1;7;3;5;8;12;15;26;22;21;52;-;191
". 001 Doenças infecciosas intestinais";-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;6;-;14
"... 003 Diarréia e gastroenterite orig infec pres";-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;6;-;13
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;3;1;-;7
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;3;1;-;7
". 007-015 Outras doenças bacterianas";2;1;3;-;-;-;-;1;4;1;2;2;1;6;6;6;7;10;7;35;-;94
"... 014 Septicemia";-;-;2;-;-;-;-;1;4;1;2;2;1;6;5;6;6;10;6;27;-;79
"... 015 Infecções com transmissão predom sexual";2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;1;-;4;-;2;-;2;-;8;1;2;2;-;22
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;2;-;6
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;-;3;-;2;-;1;-;4;1;-;-;-;12
". 024-027 Doenças transmitidas por protozoários";-;-;-;1;-;-;-;-;1;-;1;-;2;2;4;7;9;10;5;7;-;49
"... 025 Leishmaniose";-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;1;-;1;-;-;-;6
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;1;-;1;2;3;6;9;9;5;7;-;43
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;3
"032-052 NEOPLASIAS";-;-;1;2;3;-;3;3;3;11;28;21;37;53;51;63;57;76;58;151;-;621
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;1;2;1;3;-;11
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;4;1;5;4;10;-;31
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;2;1;-;2;3;4;6;3;2;9;-;32
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;2;2;3;3;6;5;2;5;4;17;-;49
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;1;2;1;2;1;2;3;3;2;3;8;-;28
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;1;4;5;3;4;-;22
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;3;6;5;4;5;8;5;18;-;55
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;3
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;3;9;7;10;12;4;11;6;7;9;19;-;97
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;1;3;4;1;6;2;5;5;3;6;1;6;-;43
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;1;-;-;-;-;-;4;2;4;1;7;3;3;-;25
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;1;-;-;3;1;1;3;3;3;2;1;-;18
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;3;-;6
". 047 Neopl malig mening,encéf e out partes SNC";-;-;1;-;-;-;-;-;-;-;2;-;-;3;3;5;3;3;2;6;-;28
". 048 Linfoma não-Hodgkin";-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;1;1;2;2;-;10
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;5;-;2;-;11
". 050 Leucemia";-;-;-;1;2;-;1;2;-;1;1;-;1;2;-;1;1;2;2;8;-;25
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;-;-;2;2;-;9
". 052 Restante de neoplasias malignas";-;-;-;1;-;-;2;-;2;2;3;6;5;8;12;10;14;11;13;27;-;116
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;1;-;1;-;1;3;1;3;3;-;2;1;-;1;4;4;10;-;35
". 053 Anemias";-;-;-;1;-;1;-;1;3;-;2;3;-;1;1;-;1;2;3;8;-;27
