 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310170 ALMENARA, 310730 BOCAIUVA, 310940 BURITIZEIRO, 312770 GOVERNADOR VALADARES, 313210 ITACARAMBI, 313510 JANAUBA, 313520 JANUARIA, 314330 MONTES CLAROS, 314430 NANUQUE, 314435 NAQUE, 314505 NOVA PORTEIRINHA, 314870 PEDRA AZUL, 315120 PIRAPORA, 315700 SALINAS, 316110 SAO FRANCISCO, 316800 TAIOBEIRAS, 316860 TEOFILO OTONI, 317080 VARZEA DA PALMA
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;-;1;1;-;1;4;3;4;5;2;9;12;17;22;28;45;55;41;150;401
". 001 Doenças infecciosas intestinais";-;-;1;1;-;-;-;-;-;-;-;-;1;1;-;1;-;3;1;5;14
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;5;9
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;5
". 005-006 Tuberculose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2
". 007-015 Outras doenças bacterianas";1;-;-;-;-;-;3;-;1;1;1;2;-;2;8;8;17;12;14;52;122
"... 008 Leptospirose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"... 013 Infecção meningocócica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 014 Septicemia";-;-;-;-;-;-;3;-;1;-;1;1;-;2;8;8;15;12;14;48;113
"... 015 Infecções com transmissão predom sexual";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;2;2;-;-;6;3;3;2;3;1;1;2;5;30
"... 018 Dengue";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;2;5
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;3
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;2;-;-;3;3;1;2;3;-;1;1;-;16
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;5;2;3;4;7;4;6;11;42
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;5;2;3;4;7;4;6;11;42
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;-;-;4
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;3
"... 029 Cisticercose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;1;1;-;1;4;1;1;3;7;9;11;19;35;18;76;187
"032-052 NEOPLASIAS";-;-;-;1;1;1;2;6;5;14;16;39;37;62;81;90;82;85;82;147;751
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;4;7
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;2;1;1;5;3;2;3;2;3;22
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;2;1;3;1;2;2;3;4;6;24
