 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310170 ALMENARA, 310730 BOCAIUVA, 310940 BURITIZEIRO, 312770 GOVERNADOR VALADARES, 313210 ITACARAMBI, 313510 JANAUBA, 313520 JANUARIA, 314330 MONTES CLAROS, 314430 NANUQUE, 314435 NAQUE, 314505 NOVA PORTEIRINHA, 314870 PEDRA AZUL, 315120 PIRAPORA, 315700 SALINAS, 316110 SAO FRANCISCO, 316800 TAIOBEIRAS, 316860 TEOFILO OTONI, 317080 VARZEA DA PALMA
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;-;-;1;-;1;5;1;8;9;12;21;26;24;16;24;17;26;54;246
". 001 Doenças infecciosas intestinais";-;-;-;-;1;-;-;1;-;-;-;-;-;1;2;-;2;1;2;5;15
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;2;1;2;4;12
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;3
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;1;2;1;1;2;5;-;2;1;2;2;19
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;1;2;1;1;2;5;-;2;1;2;2;19
". 007-015 Outras doenças bacterianas";-;1;-;-;-;-;1;2;-;3;1;2;1;9;5;8;10;9;14;31;97
"... 014 Septicemia";-;-;-;-;-;-;1;2;-;3;1;2;1;9;5;8;8;8;12;28;88
"... 015 Infecções com transmissão predom sexual";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
". 016-023 Doenças virais";-;-;-;-;-;-;-;1;-;3;5;6;8;5;5;3;1;-;1;2;40
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;4
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;1;-;-;-;6
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;1;-;3;3;6;5;5;3;2;-;-;-;1;29
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;1;1;1;1;3;9;8;7;3;8;4;7;13;66
"... 025 Leishmaniose";-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;1;-;4
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;1;-;3;9;8;6;3;8;4;6;13;61
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;5
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;5
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;4
"032-052 NEOPLASIAS";-;-;1;2;2;1;6;5;2;2;12;26;39;57;85;88;118;110;108;164;828
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;1;-;3;9;5;6;10;4;6;-;3;47
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;3;5;12;9;17;17;13;11;9;11;107
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;1;-;-;1;2;3;3;6;4;11;17;12;9;69
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;1;2;6;6;8;10;5;3;9;50
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;1;-;-;-;-;-;-;1;-;-;2;7;3;7;9;2;5;37
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;1;1;1;6;5;9;2;5;6;36
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;2;1;1;4;-;5;2;5;5;25
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;1;3;6;11;20;11;11;22;86
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;2;-;6
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;1;5
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;2;8;8;14;17;27;41;117
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;3;3;11;21
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;1;-;1;1;1;-;2;2;1;4;4;2;5;-;2;5;31
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;2;2;8
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;1;-;3;1;2;1;4;4;3;19
". 050 Leucemia";-;-;-;-;-;-;3;-;1;-;1;-;-;-;3;4;1;6;4;8;31
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;2;2;1;1;2;11
". 052 Restante de neoplasias malignas";-;-;1;1;1;1;1;3;-;1;4;8;7;15;8;8;12;14;16;21;122
