 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 310170 ALMENARA, 310730 BOCAIUVA, 310940 BURITIZEIRO, 312770 GOVERNADOR VALADARES, 313210 ITACARAMBI, 313510 JANAUBA, 313520 JANUARIA, 314330 MONTES CLAROS, 314430 NANUQUE, 314435 NAQUE, 314505 NOVA PORTEIRINHA, 314870 PEDRA AZUL, 315120 PIRAPORA, 315700 SALINAS, 316110 SAO FRANCISCO, 316800 TAIOBEIRAS, 316860 TEOFILO OTONI, 317080 VARZEA DA PALMA
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;1;4;-;-;1;1;6;8;14;12;37;36;83;73;91;104;109;115;247;1;943
". 001 Doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;3;1;-;2;-;9
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;5
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;4
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;1;1;1;2;5;3;4;-;1;-;2;-;1;21
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;1;1;2;5;3;3;-;-;-;1;-;1;17
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;4
". 007-015 Outras doenças bacterianas";-;-;2;-;-;-;-;1;-;2;-;4;7;8;10;15;9;15;11;30;-;114
"... 008 Leptospirose";-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;2
"... 014 Septicemia";-;-;1;-;-;-;-;1;-;1;-;3;7;8;8;15;9;14;9;27;-;103
