 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 250150 BANANEIRAS, 250370 CAJAZEIRAS, 250400 CAMPINA GRANDE, 250510 CUITE, 250630 GUARABIRA, 250690 ITABAIANA, 250700 ITAPORANGA, 250830 LAGOA SECA, 250910 MARI, 250920 MASSARANDUBA, 251010 NOVA FLORESTA, 251080 PATOS, 251170 PILOEZINHOS, 251210 POMBAL, 251240 PUXINANA, 251250 QUEIMADAS, 251260 QUIXABA, 251270 REMIGIO, 251340 SANTA LUZIA, 251390 SAO BENTO, 251600 SOLANEA, 251620 SOUSA
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;2;1;1;-;-;1;3;2;9;8;9;12;13;12;29;35;38;185;-;360
". 001 Doenças infecciosas intestinais";-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;11;-;18
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5;-;9
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;6;-;9
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;1;2;-;1;-;8
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;2;-;1;-;1;-;1;2;-;1;-;8
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;1;2;-;1;2;4;5;5;8;16;23;20;104;-;191
"... 014 Septicemia";-;-;-;-;-;-;-;-;1;-;1;2;3;4;4;6;10;15;12;71;-;129
"... 015 Infecções com transmissão predom sexual";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;2
". 016-023 Doenças virais";-;-;-;-;1;-;-;-;1;2;3;3;1;3;-;1;3;1;-;5;-;24
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;1;-;-;-;-;-;1;2;-;1;-;-;1;-;-;1;-;7
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;4
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;1;1;2;1;-;1;-;1;-;-;-;1;-;8
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;4
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;3
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 030 Restante de helmintíases";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;3;2;3;3;7;2;6;8;15;64;-;113
"032-052 NEOPLASIAS";-;-;-;-;-;2;1;9;3;9;9;18;24;45;65;71;79;68;68;160;-;631
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;1;-;1;-;1;-;-;2;-;-;-;2;4;-;11
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;4;-;11
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;1;1;2;1;2;4;4;4;5;3;7;-;34
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;-;2;3;3;7;3;5;5;12;-;40
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;2;7;4;6;13;-;35
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;1;-;1;5;2;6;2;2;10;-;29
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;1;-;-;1;-;-;3;10;10;10;17;8;15;-;75
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;2;-;2;2;1;9;11;13;14;9;9;8;21;-;101
