 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 250150 BANANEIRAS, 250370 CAJAZEIRAS, 250400 CAMPINA GRANDE, 250510 CUITE, 250630 GUARABIRA, 250690 ITABAIANA, 250700 ITAPORANGA, 250830 LAGOA SECA, 250910 MARI, 250920 MASSARANDUBA, 251010 NOVA FLORESTA, 251080 PATOS, 251170 PILOEZINHOS, 251210 POMBAL, 251240 PUXINANA, 251250 QUEIMADAS, 251260 QUIXABA, 251270 REMIGIO, 251340 SANTA LUZIA, 251390 SAO BENTO, 251600 SOLANEA, 251620 SOUSA
Sexo: Masc
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;1;-;-;-;2;1;8;4;2;8;11;4;12;10;9;6;17;48;-;143
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;2;6;-;12
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;5;-;8
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;4
". 005-006 Tuberculose";-;-;-;-;-;-;1;1;1;-;-;1;1;-;1;1;-;-;1;2;-;10
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;1;-;-;1;2;-;8
"... 006 Outras tuberculoses";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;1;-;-;1;-;2;5;3;6;3;8;3;14;38;-;85
"... 013 Infecção meningocócica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;1;-;-;-;1;-;-;1;-;1;4;3;5;2;6;2;13;32;-;71
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;6;2;1;5;3;1;2;4;1;-;-;-;-;25
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;4
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;6;2;1;5;3;1;1;2;-;-;-;-;-;21
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;1;1;-;2;-;1;1;-;1;-;1;-;8
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;-;1;-;5
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"032-052 NEOPLASIAS";-;-;1;2;-;1;5;4;3;5;6;12;25;31;47;61;65;74;84;149;-;575
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;-;1;3;4;2;4;2;3;6;-;25
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;1;2;-;3;5;3;2;3;10;-;29
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;1;-;1;-;1;4;6;8;2;8;4;10;-;45
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;4;5;1;7;-;24
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;1;1;-;2;2;3;4;9;4;3;-;29
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;7;1;1;4;2;-;18
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;1;-;-;-;-;4;2;2;3;4;3;4;4;-;27
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;1;5;4;4;7;8;9;14;20;-;72
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;2
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2
". 045 Neoplasia maligna da próstata";-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;4;13;5;20;45;-;92
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;-;8
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;1;-;-;-;-;1;1;1;2;2;6;1;2;3;1;3;2;-;26
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;1;-;-;1;1;-;2;2;1;1;1;1;1;-;-;12
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;2;3;1;-;8
". 050 Leucemia";-;-;1;1;-;1;1;1;-;-;-;3;1;-;3;3;1;4;2;5;-;27
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;6;-;9
". 052 Restante de neoplasias malignas";-;-;-;-;-;-;3;2;1;3;1;3;4;5;13;13;13;19;16;24;-;120
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;1;1;3;1;1;-;11
