 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 260010 AFOGADOS DA INGAZEIRA, 260120 ARCOVERDE, 260170 BELO JARDIM, 260190 BEZERROS, 260210 BOM CONSELHO, 260260 BREJO DA MADRE DE DEUS, 260310 CACHOEIRINHA, 260350 CAMOCIM DE SAO FELIX, 260360 CAMUTANGA, 260400 CARPINA, 260410 CARUARU, 260500 CUPIRA, 260540 FEIRA NOVA, 260600 GARANHUNS, 260640 GRAVATA, 260765 ITAMBE, 260850 LAGOA DE ITAENGA, 260880 LAJEDO, 260890 LIMOEIRO, 260950 NAZARE DA MATA, 261090 PESQUEIRA, 261110 PETROLINA, 261220 SALGUEIRO, 261250 SANTA CRUZ DO CAPIBARIBE, 261390 SERRA TALHADA, 261450 SURUBIM, 261530 TIMBAUBA, 261540 TORITAMA, 261550 TRACUNHAEM, 261560 TRINDADE, 261640 VITORIA DE SANTO ANTAO
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";3;-;5;2;1;2;2;4;4;4;9;8;10;10;10;17;13;25;30;105;264
". 001 Doenças infecciosas intestinais";-;-;2;-;-;1;1;-;1;-;-;-;1;-;2;4;1;7;10;32;62
"... 003 Diarréia e gastroenterite orig infec pres";-;-;2;-;-;1;1;-;1;-;-;-;1;-;2;4;1;6;10;25;54
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;8
". 005-006 Tuberculose";-;-;-;-;-;1;-;-;1;-;1;2;-;3;2;2;1;1;-;2;16
"... 005 Tuberculose respiratória";-;-;-;-;-;1;-;-;1;-;1;2;-;2;2;2;1;1;-;2;15
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
". 007-015 Outras doenças bacterianas";3;-;2;1;-;-;-;1;-;1;1;-;4;2;3;5;8;10;14;58;113
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"... 014 Septicemia";-;-;2;1;-;-;-;1;-;-;1;-;4;2;2;5;8;6;13;48;93
"... 015 Infecções com transmissão predom sexual";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 016-023 Doenças virais";-;-;1;1;1;-;1;2;1;2;6;4;3;4;1;1;1;1;-;3;33
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;2;5
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;1;-;1;-;1;2;1;2;4;4;2;3;-;-;1;1;-;1;24
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;3;1;1;1;1;9
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;1;1;7
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;5;4;4;16
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;5;4;4;16
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;1;1;-;-;2;1;1;2;-;1;-;1;5;15
"032-052 NEOPLASIAS";-;-;1;2;1;4;2;6;6;19;36;55;70;86;90;110;130;140;108;195;1061
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;1;-;-;-;-;1;1;-;3;1;1;3;5;2;6;24
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;1;-;-;-;-;3;5;2;5;1;-;8;25
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;1;-;1;2;6;2;4;6;2;2;8;34
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;-;1;3;3;7;6;7;7;11;6;10;62
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;2;-;1;2;2;9;11;9;11;12;59
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;1;-;-;-;-;-;3;4;2;4;6;8;6;5;5;44
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;2;3;-;8
