 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220020 AGUA BRANCA, 220040 ALTOS, 220190 BOM JESUS, 220220 CAMPO MAIOR, 220390 FLORIANO, 220770 PARNAIBA, 220800 PICOS, 220840 PIRIPIRI, 220880 REGENERACAO, 221100 TERESINA, 221130 VALENCA DO PIAUI
Sexo: Fem
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";2;1;3;3;1;2;1;3;10;10;17;21;32;39;43;67;96;94;100;328;-;873
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;1;-;2;1;3;3;3;3;4;16;-;36
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;1;-;2;1;3;2;3;2;1;12;-;27
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;4;-;9
". 005-006 Tuberculose";-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;1;-;-;-;-;5
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;1;1;1;1;-;-;-;-;-;1;-;-;-;-;5
". 007-015 Outras doenças bacterianas";2;1;2;2;-;-;-;-;-;-;2;1;1;3;3;3;4;4;9;33;-;70
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;2;1;-;-;-;-;-;-;2;1;-;3;3;3;3;4;7;22;-;51
"... 015 Infecções com transmissão predom sexual";2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
". 016-023 Doenças virais";-;-;-;-;-;1;-;-;4;4;5;6;5;5;1;2;3;-;-;2;-;38
