 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220020 AGUA BRANCA, 220040 ALTOS, 220190 BOM JESUS, 220220 CAMPO MAIOR, 220390 FLORIANO, 220770 PARNAIBA, 220800 PICOS, 220840 PIRIPIRI, 220880 REGENERACAO, 221100 TERESINA, 221130 VALENCA DO PIAUI
Sexo: Fem
Período:2022
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";2;1;3;3;2;-;1;3;6;3;12;8;11;11;15;15;30;37;36;176;375
". 001 Doenças infecciosas intestinais";-;-;-;1;1;-;-;-;-;-;3;-;-;4;2;1;2;4;7;25;50
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;1;1;-;-;-;-;-;2;-;-;4;2;1;2;4;6;22;45
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;3;5
". 005-006 Tuberculose";-;-;-;1;-;-;-;-;1;-;-;2;1;1;-;-;-;-;1;2;9
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;1;-;-;2;1;1;-;-;-;-;-;2;7
"... 006 Outras tuberculoses";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2
". 007-015 Outras doenças bacterianas";2;-;2;-;-;-;-;-;-;-;3;-;-;1;2;5;10;11;11;44;91
"... 014 Septicemia";-;-;2;-;-;-;-;-;-;-;3;-;-;1;2;5;9;9;9;36;76
"... 015 Infecções com transmissão predom sexual";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 016-023 Doenças virais";-;1;-;-;1;-;1;1;2;3;6;3;4;3;3;-;1;-;1;4;34
"... 018 Dengue";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
