 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220020 AGUA BRANCA, 220040 ALTOS, 220190 BOM JESUS, 220220 CAMPO MAIOR, 220390 FLORIANO, 220770 PARNAIBA, 220800 PICOS, 220840 PIRIPIRI, 220880 REGENERACAO, 221100 TERESINA, 221130 VALENCA DO PIAUI
Sexo: Masc
Período:2018
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";1;1;7;1;-;1;1;3;10;11;13;14;14;14;12;8;11;18;15;31;-;186
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;3;1;2;-;2;1;1;2;2;9;-;23
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;3;1;1;-;2;1;-;2;2;7;-;19
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;4
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;-;1;2;2;2;1;-;1;2;4;2;-;17
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;-;1;2;2;2;1;-;1;2;4;2;-;17
". 007-015 Outras doenças bacterianas";1;1;5;-;-;1;1;-;-;1;1;1;4;2;6;2;6;8;7;10;-;57
"... 014 Septicemia";-;-;5;-;-;1;-;-;-;1;1;1;3;1;4;2;6;4;6;10;-;45
"... 015 Infecções com transmissão predom sexual";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
". 016-023 Doenças virais";-;-;-;-;-;-;-;2;10;10;8;8;6;9;3;5;1;3;1;6;-;72
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;1;-;1;-;6
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;2;10;10;8;7;6;9;3;1;1;2;1;2;-;62
". 024-027 Doenças transmitidas por protozoários";-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;1;2;-;2;-;8
"... 025 Leishmaniose";-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;-;5
". 031 Restante algumas doenç infec e parasitárias";-;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;1;1;1;2;-;9
