 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 220020 AGUA BRANCA, 220040 ALTOS, 220190 BOM JESUS, 220220 CAMPO MAIOR, 220390 FLORIANO, 220770 PARNAIBA, 220800 PICOS, 220840 PIRIPIRI, 220880 REGENERACAO, 221100 TERESINA, 221130 VALENCA DO PIAUI
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;2;5;2;-;2;2;5;18;16;29;50;56;64;90;109;127;163;128;347;1215
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;1;-;1;1;1;-;2;1;1;3;3;2;11;27
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;1;-;1;-;-;-;2;1;1;3;1;-;9;19
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;2;2;8
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;1;-;-;3;6;2;2;-;1;1;1;3;20
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;1;-;-;3;6;2;2;-;1;-;-;3;18
"... 006 Outras tuberculoses";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2
". 007-015 Outras doenças bacterianas";-;2;5;-;-;1;-;1;-;1;1;1;4;4;7;6;9;10;10;20;82
"... 008 Leptospirose";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 009 Hanseníase";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
"... 010 Tétano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"..... 010.3 Tétano acidental";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"... 014 Septicemia";-;-;5;-;-;1;-;-;-;1;1;1;3;3;5;4;7;6;10;14;61
"... 015 Infecções com transmissão predom sexual";-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;9;1;11;15;10;5;6;2;4;1;1;1;66
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;2;-;-;1;7
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;9;1;11;15;9;4;5;1;2;1;1;-;59
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;1;1;1;-;7
"... 025 Leishmaniose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;1;-;-;-;4
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;3
