 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 240020 ACU, 240110 AREIA BRANCA, 240200 CAICO, 240260 CEARA-MIRIM, 240310 CURRAIS NOVOS, 240560 JARDIM DE PIRANHAS, 240710 MACAIBA, 240800 MOSSORO, 240890 PARELHAS, 240940 PAU DOS FERROS, 241120 SANTA CRUZ, 241230 SAO JOSE DO CAMPESTRE
Sexo: Fem
Período:2017
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;2;2;-;-;1;-;-;2;1;4;3;5;2;4;4;13;10;41;-;94
". 001 Doenças infecciosas intestinais";-;-;2;1;-;-;-;-;-;-;-;-;1;1;1;1;2;5;2;10;-;26
"... 003 Diarréia e gastroenterite orig infec pres";-;-;1;1;-;-;-;-;-;-;-;-;1;1;1;1;1;4;1;8;-;20
"... 004 Outras doenças infecciosas intestinais";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;6
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;1;-;-;1;3;1;2;1;8;6;28;-;51
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;1;-;-;1;2;1;1;1;8;5;21;-;41
". 016-023 Doenças virais";-;-;-;1;-;-;1;-;-;-;1;3;1;1;-;1;1;-;-;-;-;10
"... 020 Out febres p/arbovírus e febr hemor virais";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;1;-;-;-;-;-;-;1;3;1;1;-;-;1;-;-;-;-;8
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2
". 031 Restante algumas doenç infec e parasitárias";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;3
"032-052 NEOPLASIAS";-;-;1;1;-;1;-;-;2;11;13;14;13;42;40;33;39;52;44;88;-;394
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;2;1;4;-;11
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;1;3;-;8
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;1;1;-;2;3;2;3;1;3;2;5;-;23
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;1;3;-;1;-;-;3;7;2;3;2;6;-;28
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;-;2;6;-;4;-;16
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;-;2;5;4;-;17
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;1;4;5;9;5;10;11;10;-;55
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;1;4;4;4;4;14;5;2;6;8;5;12;-;69
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;1;-;2;1;4;5;-;3;1;2;1;-;20
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;1;1;2;4;2;2;2;2;1;4;-;21
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;2;2;2;-;10
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;1;-;5
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;-;2;1;-;2;-;10
". 048 Linfoma não-Hodgkin";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;3
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;3
". 050 Leucemia";-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;2;3;-;-;9
". 051 Neoplasias in situ, benig, comport incert";-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;2;-;6
". 052 Restante de neoplasias malignas";-;-;-;1;-;1;-;-;-;-;3;1;1;8;8;6;10;7;6;25;-;77
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;1;-;1;-;-;1;-;-;1;2;1;2;1;-;2;1;3;-;16
". 053 Anemias";-;-;-;1;-;-;-;-;-;-;-;-;1;1;2;1;-;1;-;3;-;10
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;1;1;-;-;6
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;1;-;-;-;1;-;-;2;2;1;5;9;13;13;19;24;41;90;-;221
". 055 Diabetes mellitus";-;-;-;-;-;-;1;-;-;1;-;1;4;8;13;12;18;23;38;78;-;197
". 056 Desnutrição";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;9;-;12
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;1;1;1;1;3;-;12
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;1;-;1;3;1;-;1;-;2;1;3;-;13
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;2;-;1;-;5
"... 058.1 Trans ment e comport devid uso álcool";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;-;-;1;2;-;8
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;1;-;-;-;-;1;-;-;-;2;3;1;-;1;2;10;48;-;69
". 060 Meningite";-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;7;42;-;50
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;2;-;4
