 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 240020 ACU, 240110 AREIA BRANCA, 240200 CAICO, 240260 CEARA-MIRIM, 240310 CURRAIS NOVOS, 240560 JARDIM DE PIRANHAS, 240710 MACAIBA, 240800 MOSSORO, 240890 PARELHAS, 240940 PAU DOS FERROS, 241120 SANTA CRUZ, 241230 SAO JOSE DO CAMPESTRE
Sexo: Masc
Período:2019
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;2;-;1;1;2;3;5;3;4;3;5;6;8;12;8;14;24;101
". 001 Doenças infecciosas intestinais";-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;3;2;2;2;6;19
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;2;2;2;1;4;14
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;5
". 005-006 Tuberculose";-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;-;2;-;1;7
"... 005 Tuberculose respiratória";-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;-;-;2;-;1;7
". 007-015 Outras doenças bacterianas";-;-;-;1;-;-;-;-;-;1;-;-;-;1;3;2;7;1;6;11;33
"... 013 Infecção meningocócica";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;3;-;4;9;22
". 016-023 Doenças virais";-;-;-;-;-;1;-;1;2;3;2;2;-;-;1;1;2;3;4;2;24
"... 022 Hepatite viral";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;4
