 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280350 LAGARTO, 280570 PROPRIA, 280740 TOBIAS BARRETO
Sexo: Fem
Período:2021
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"5 a 9 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;3;1;-;-;1;1;-;3;3;6;10;5;11;14;14;11;31;114
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;3;6
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;3;5
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
". 005-006 Tuberculose";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;2
". 007-015 Outras doenças bacterianas";-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;4;8
"... 014 Septicemia";-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;5
". 016-023 Doenças virais";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
". 024-027 Doenças transmitidas por protozoários";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"... 026 Doença de Chagas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;2;1;-;-;1;1;-;2;2;6;9;4;11;12;12;9;23;95
"032-052 NEOPLASIAS";-;-;-;-;1;2;1;1;1;2;3;2;3;6;10;11;7;4;16;70
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
". 035 Neoplasia maligna do cólon,reto e ânus";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;-;-;4
". 036 Neopl malig do fígado e vias bil intrahepát";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;3
". 037 Neoplasia maligna do pâncreas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
". 038 Neoplasia maligna da laringe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2
". 039 Neopl malig da traquéia,brônquios e pulmões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;2;1;3;11
". 040 Neoplasia maligna da pele";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
". 041 Neoplasia maligna da mama";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;3
". 042 Neoplasia maligna do colo do útero";-;-;-;-;-;-;-;-;-;1;2;1;1;1;1;-;-;1;-;8
". 043 Neopl malig de corpo e partes n/esp útero";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;5
". 044 Neoplasia maligna do ovário";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;4
". 046 Neoplasia maligna da bexiga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
". 047 Neopl malig mening,encéf e out partes SNC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
". 049 Mieloma mult e neopl malig de plasmócitos";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2
". 050 Leucemia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
". 051 Neoplasias in situ, benig, comport incert";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
". 052 Restante de neoplasias malignas";-;-;-;-;-;1;1;-;-;-;1;-;1;-;2;2;-;1;4;13
"053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;4
". 053 Anemias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2
". 054 Rest d sangue, org hemat e alg transt imunit";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS";-;-;-;1;-;-;-;1;1;1;-;1;1;2;3;1;3;6;23;44
". 055 Diabetes mellitus";-;-;-;-;-;-;-;1;1;1;-;1;1;2;2;-;3;4;17;33
". 056 Desnutrição";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5
". 057 Rest doenças endócr, nutricion e metabólicas";-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;2;1;6
"058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;5;9
". 058 Transt ment e comport uso subst psicoativas";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;3
". 059 Rest transtornos mentais e comportamentais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;6
"060-063 DOENÇAS DO SISTEMA NERVOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;3;-;3;14;23
". 061 Doença de Alzheimer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;12;16
". 062 Epilepsia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2
