 Mortalidade - Brasil
Óbitos p/Residênc por Causa - CID-BR-10 e Faixa Etária det
Município: 280350 LAGARTO, 280570 PROPRIA, 280740 TOBIAS BARRETO
Sexo: Masc
Período:2020
"Causa - CID-BR-10";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS";-;-;-;1;-;1;1;2;4;4;4;7;9;10;11;16;19;13;23;125
". 001 Doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;4
"... 003 Diarréia e gastroenterite orig infec pres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"... 004 Outras doenças infecciosas intestinais";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;3
". 005-006 Tuberculose";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2
"... 005 Tuberculose respiratória";-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2
". 007-015 Outras doenças bacterianas";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;4;8
"... 014 Septicemia";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;3;7
". 016-023 Doenças virais";-;-;-;-;-;1;-;1;-;2;3;-;-;1;1;-;-;-;-;9
"... 023 Doen p/vírus da imunodefic humana (HIV)";-;-;-;-;-;1;-;1;-;2;3;-;-;1;1;-;-;-;-;9
". 028-030 Helmintíases";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"... 028 Esquistossomose";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
". 031 Restante algumas doenç infec e parasitárias";-;-;-;1;-;-;-;1;4;2;1;7;8;5;10;16;18;11;17;101
"032-052 NEOPLASIAS";-;-;-;-;-;1;-;2;4;1;1;4;9;4;11;11;11;10;17;86
". 032 Neopl malig do lábio, cav oral e faringe";-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;4
". 033 Neoplasia maligna do esôfago";-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;1;1;-;1;7
". 034 Neoplasia maligna do estômago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;5
