id_municipio;SUM de populacao_residente;;;;;;;;;;;;;;;;;;;;;;;;
1100015;21493;;;;;;;;;;;;;;;;;;;;;;;;
1100023;96828;;;;;;;;;;;;;;;;;;;;;;;;
1100031;5351;;;;;;;;;;;;;;;;;;;;;;;;
1100049;86875;;;;;;;;;;;;;;;;;;;;;;;;
1100056;15890;;;;;;;;;;;;;;;;;;;;;;;;
1100064;15660;;;;;;;;;;;;;;;;;;;;;;;;
1100072;7517;;;;;;;;;;;;;;;;;;;;;;;;
1100080;12625;;;;;;;;;;;;;;;;;;;;;;;;
1100098;29412;;;;;;;;;;;;;;;;;;;;;;;;
1100106;39381;;;;;;;;;;;;;;;;;;;;;;;;
1100114;50586;;;;;;;;;;;;;;;;;;;;;;;;
1100122;124320;;;;;;;;;;;;;;;;;;;;;;;;
1100130;30707;;;;;;;;;;;;;;;;;;;;;;;;
1100148;15679;;;;;;;;;;;;;;;;;;;;;;;;
1100155;35041;;;;;;;;;;;;;;;;;;;;;;;;
1100189;35076;;;;;;;;;;;;;;;;;;;;;;;;
1100205;460397;;;;;;;;;;;;;;;;;;;;;;;;
1100254;19324;;;;;;;;;;;;;;;;;;;;;;;;
1100262;3471;;;;;;;;;;;;;;;;;;;;;;;;
1100288;56398;;;;;;;;;;;;;;;;;;;;;;;;
1100296;7418;;;;;;;;;;;;;;;;;;;;;;;;
1100304;95824;;;;;;;;;;;;;;;;;;;;;;;;
1100320;21631;;;;;;;;;;;;;;;;;;;;;;;;
1100338;25443;;;;;;;;;;;;;;;;;;;;;;;;
1100346;13117;;;;;;;;;;;;;;;;;;;;;;;;
1100379;11477;;;;;;;;;;;;;;;;;;;;;;;;
1100403;16317;;;;;;;;;;;;;;;;;;;;;;;;
1100452;27991;;;;;;;;;;;;;;;;;;;;;;;;
1100502;7667;;;;;;;;;;;;;;;;;;;;;;;;
1100601;4150;;;;;;;;;;;;;;;;;;;;;;;;
1100700;8844;;;;;;;;;;;;;;;;;;;;;;;;
1100809;22307;;;;;;;;;;;;;;;;;;;;;;;;
1100908;3233;;;;;;;;;;;;;;;;;;;;;;;;
1100924;9322;;;;;;;;;;;;;;;;;;;;;;;;
1100940;14863;;;;;;;;;;;;;;;;;;;;;;;;
1101005;8001;;;;;;;;;;;;;;;;;;;;;;;;
1101104;8548;;;;;;;;;;;;;;;;;;;;;;;;
1101203;6464;;;;;;;;;;;;;;;;;;;;;;;;
1101302;9234;;;;;;;;;;;;;;;;;;;;;;;;
1101401;11547;;;;;;;;;;;;;;;;;;;;;;;;
1101435;6199;;;;;;;;;;;;;;;;;;;;;;;;
1101450;4124;;;;;;;;;;;;;;;;;;;;;;;;
1101468;2156;;;;;;;;;;;;;;;;;;;;;;;;
