Causa - CID-BR-10,<1,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais,Total,tipologia,sexo,ano,estado
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,0.7760962359332556,0,0,0,0,0,0,1.6120419533918366,0.831209132217666,0,0.3694262809856293,1.184711866609087,0.7979607669289593,0,0,0.38660889870589116,0.4095813115275455,2.950674013513423,9.318310459813294,IA,F,2018,Alagoas
032-052 NEOPLASIAS,0,0,0,0.3694262809856293,0,0,0.3694262809856293,0.4030104883479592,0.415604566108833,1.6624182644353314,1.108278842956888,1.974519777681812,1.196941150393439,3.9784368721529306,2.216557685913776,1.9330444935294562,2.047906557637728,4.215248590733462,21.890819851862872,IA,F,2018,Alagoas
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,0,0,0,0,0,0,0,0.4030104883479592,0,0,0,0,0,0.39784368721529306,0,0.38660889870589116,0,0.42152485907334625,1.6089879333424897,IA,F,2018,Alagoas
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",0.3880481179666278,0.3694262809856293,0,0,0,0,0,0,0.831209132217666,0,0.3694262809856293,0.7898079110727246,0.7979607669289593,2.3870621232917584,1.108278842956888,1.9330444935294562,3.2766504922203645,4.636773449806809,16.88768789196251,IA,F,2018,Alagoas
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,0,0,0,0,0,0,0,0,0,0,0,0.3949039555363623,0,0,0,0.38660889870589116,0.819162623055091,0.42152485907334625,2.022200336370691,IA,F,2018,Alagoas
060-063 DOENÇAS DO SISTEMA NERVOSO,0,0,0,0,0,0.3694262809856293,0,0,0,0.415604566108833,0,0.7898079110727246,0,0.39784368721529306,0,0,0.4095813115275455,1.2645745772200387,3.646838334130064,IA,F,2018,Alagoas
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,0,0,0,0,0,0.3694262809856293,0.7388525619712586,0.8060209766959184,0.831209132217666,0.831209132217666,1.8471314049281469,3.949039555363623,3.191843067715838,4.376280559368224,5.910820495770069,8.8920046702355,6.553300984440728,26.556066121620812,64.85320494353108,IA,F,2018,Alagoas
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,0.3880481179666278,0,0,0,0.3694262809856293,0,0,0,0,0,0.3694262809856293,0,1.9949019173223987,1.9892184360764658,1.477705123942517,1.1598266961176735,2.4574878691652735,12.645745772200387,22.8517864947626,IA,F,2018,Alagoas
078-082 DOENÇAS DO APARELHO DIGESTIVO,0,0,0,0,0,0,0.3694262809856293,0.8060209766959184,0,0,0.3694262809856293,0.7898079110727246,0,0.39784368721529306,0.3694262809856293,0,0,2.107624295366732,5.209575713307556,IA,F,2018,Alagoas
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,0,0,0,0,0,0,0,0,0,0,0,0.3949039555363623,0.39898038346447967,0,0,0,0,0.42152485907334625,1.2154091980741883,IA,F,2018,Alagoas
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42152485907334625,0.42152485907334625,IA,F,2018,Alagoas
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,0,0,0,0,0,0,0,0,0,0,0,0.3949039555363623,0.7979607669289593,0.39784368721529306,0,0.7732177974117823,0.819162623055091,0.42152485907334625,3.6046136892208347,IA,F,2018,Alagoas
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,5.432673651532789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.432673651532789,IA,F,2018,Alagoas
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",1.9402405898331394,0.3694262809856293,0,0.3694262809856293,0,0,0,0,0,0,0,0,0,0,0.3694262809856293,0,0,0,3.048519432790027,IA,F,2018,Alagoas
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IA,F,2018,Alagoas
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,0,0,0,0,0.7388525619712586,0.3694262809856293,0.7388525619712586,0.3694262809856293,0.7388525619712586,0.3694262809856293,0.3694262809856293,0,0.7388525619712586,0.3694262809856293,0.3694262809856293,0,0.7388525619712586,0.7388525619712586,6.649673057741327,IA,F,2018,Alagoas
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,0,0,0,0,0,0.4190613026819924,0,0.7183908045977012,0.7183908045977012,0,2.1551724137931036,1.7816091954022986,2.6580459770114944,0.7836990595611285,4.106096461573136,5.844535359438925,3.463669950738917,9.288346645886097,31.937017975282497,IA,F,2021,Alagoas
032-052 NEOPLASIAS,0,0,0,0.3591954022988506,0,0,0.9578544061302683,0.7183908045977012,0.3591954022988506,0,1.0775862068965518,1.7816091954022986,3.0377668308702797,2.3510971786833856,2.9862519720531897,2.33781414377557,2.3091133004926108,3.6345704266510817,21.91044527015064,IA,F,2021,Alagoas
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,0,0,0,0,0,0,0,0,0,0,0,0.44540229885057475,0,0,0,0,0.38485221674876846,0.4038411585167868,1.23409567411613,IA,F,2021,Alagoas
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",0,0,0.7183908045977012,0,0,0.4190613026819924,0,0,0.3591954022988506,0,0,0.44540229885057475,1.1391625615763548,1.5673981191222568,1.1198444895199462,1.168907071887785,3.463669950738917,6.461458536268589,16.862490537542968,IA,F,2021,Alagoas
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,0,0,0,0,0,0,0,0.3591954022988506,0,0,0,0,0,0,0,0,0,0,0.3591954022988506,IA,F,2021,Alagoas
060-063 DOENÇAS DO SISTEMA NERVOSO,0,0,0,0,0,0,0,0,0,0,0,0.44540229885057475,0.3797208538587849,0,0,1.168907071887785,0.38485221674876846,2.8268881096175074,5.20577055096342,IA,F,2021,Alagoas
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,0.37327360955580435,0,0,0,0,0.4190613026819924,0,0.7183908045977012,0,2.3347701149425286,2.1551724137931036,1.3362068965517242,2.6580459770114944,5.4858934169279,5.9725039441063785,7.403078121955971,6.542487684729064,31.095769205792593,66.49465349264625,IA,F,2021,Alagoas
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,0.37327360955580435,0.3591954022988506,0,0,0,0,0,0,0,0.7782567049808429,0.7183908045977012,0.44540229885057475,2.2783251231527095,1.5673981191222568,1.866407482533244,1.5585427625170465,1.5394088669950736,6.057617377751803,17.542218552355905,IA,F,2021,Alagoas
078-082 DOENÇAS DO APARELHO DIGESTIVO,0.37327360955580435,0,0,0,0,0.4190613026819924,0,0,0,0,1.0775862068965518,0.8908045977011495,0,0,1.1198444895199462,1.168907071887785,1.1545566502463054,1.2115234755503606,7.415557404039895,IA,F,2021,Alagoas
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,0,0,0,0,0,0,0,0,0,0.38912835249042144,0,0,0,0,0.37328149650664866,0,0.38485221674876846,0.8076823170335736,1.9549443827794122,IA,F,2021,Alagoas
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,0,0,0.3591954022988506,0,0,0,0,0,0.3591954022988506,0,0,0,0,0,0,0,0,0,0.7183908045977012,IA,F,2021,Alagoas
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,0,0,0,0,0,0,0,0,0,0,0.3591954022988506,0.8908045977011495,0.3797208538587849,0,0.7465629930132973,0,0.38485221674876846,0.8076823170335736,3.568818380654424,IA,F,2021,Alagoas
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",0,0,0,0,0,0.4190613026819924,0,1.0775862068965518,0,0.7782567049808429,0,0,0,0,0,0,0,0,2.274904214559387,IA,F,2021,Alagoas
