Causa - CID-BR-10,<1,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais,Total,tipologia,sexo,ano,estado
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,0.6666666666666666,0,0,0,0,0,0,1.333333333333333,0.6666666666666666,0,0.3333333333333333,1,0.6666666666666666,0,0,0.3333333333333333,0.3333333333333333,2.333333333333333,7.666666666666665,IA,F,2018,Alagoas
032-052 NEOPLASIAS,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.333333333333333,1,1.666666666666667,1,3.333333333333333,2,1.666666666666667,1.666666666666667,3.333333333333333,18.333333333333332,IA,F,2018,Alagoas
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,1.3333333333333333,IA,F,2018,Alagoas
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,1,1.666666666666667,2.666666666666667,3.666666666666667,14,IA,F,2018,Alagoas
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666665,IA,F,2018,Alagoas
060-063 DOENÇAS DO SISTEMA NERVOSO,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0,0.3333333333333333,1,3,IA,F,2018,Alagoas
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.666666666666667,3.333333333333333,2.666666666666667,3.666666666666667,5.333333333333333,7.666666666666667,5.333333333333333,21,53.666666666666664,IA,F,2018,Alagoas
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,1.666666666666667,1.666666666666667,1.333333333333333,1,2,10,18.666666666666668,IA,F,2018,Alagoas
078-082 DOENÇAS DO APARELHO DIGESTIVO,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0,0,1.666666666666667,4.333333333333334,IA,F,2018,Alagoas
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333,1,IA,F,2018,Alagoas
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,IA,F,2018,Alagoas
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,3,IA,F,2018,Alagoas
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,4.666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666666666666666,IA,F,2018,Alagoas
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS",1.666666666666667,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,2.6666666666666674,IA,F,2018,Alagoas
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP",0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,1,0,0.6666666666666666,1.666666666666667,7.333333333333333,13,IA,F,2018,Alagoas
104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE,0,0,0,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,6,IA,F,2018,Alagoas
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,0,0,0,0,0,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,0,2,1.333333333333333,2.333333333333333,0.6666666666666666,3.666666666666667,5,3,7.666666666666667,27.333333333333336,IA,F,2021,Alagoas
032-052 NEOPLASIAS,0,0,0,0.3333333333333333,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,1,1.333333333333333,2.666666666666667,2,2.666666666666667,2,2,3,18.666666666666668,IA,F,2021,Alagoas
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0.3333333333333333,1,IA,F,2021,Alagoas
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",0,0,0.6666666666666666,0,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0.3333333333333333,1,1.333333333333333,1,1,3,5.333333333333333,14.333333333333332,IA,F,2021,Alagoas
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,IA,F,2021,Alagoas
060-063 DOENÇAS DO SISTEMA NERVOSO,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,1,0.3333333333333333,2.333333333333333,4.333333333333333,IA,F,2021,Alagoas
066-072 DOENÇAS DO APARELHO CIRCULATÓRIO,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0.6666666666666666,0,2,2,1,2.333333333333333,4.666666666666667,5.333333333333333,6.333333333333333,5.666666666666667,25.66666666666667,56.333333333333336,IA,F,2021,Alagoas
073-077 DOENÇAS DO APARELHO RESPIRATÓRIO,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,2,1.333333333333333,1.666666666666667,1.333333333333333,1.333333333333333,5,15,IA,F,2021,Alagoas
078-082 DOENÇAS DO APARELHO DIGESTIVO,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0,0,1,0.6666666666666666,0,0,1,1,1,1,6.333333333333333,IA,F,2021,Alagoas
083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0.6666666666666666,1.6666666666666665,IA,F,2021,Alagoas
084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO,0,0,0.3333333333333333,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.6666666666666666,IA,F,2021,Alagoas
085-087 DOENÇAS DO APARELHO GENITURINÁRIO,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,3,IA,F,2021,Alagoas
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO",0,0,0,0,0,0.3333333333333333,0,1,0,0.6666666666666666,0,0,0,0,0,0,0,0,2,IA,F,2021,Alagoas
093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL,3.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666666666666667,IA,F,2021,Alagoas
