Sexo,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais,Total,tipologia,ano,estado
Masculino,2789.0,2850.0,3015.0,3299.0,3136.0,2630.0,2364.0,2105.0,1831.0,1586.0,1451.0,1155.0,890.0,742.0,581.0,389.0,378.0,31191.0,IA,2018,AL
Feminino,2664.0,2767.0,2949.0,3251.0,3216.0,2870.0,2620.0,2342.0,2117.0,1859.0,1660.0,1304.0,1085.0,890.0,697.0,484.0,592.0,33367.0,IA,2018,AL
Masculino,2741.0,2748.0,2787.0,3001.0,3186.0,2765.0,2457.0,2182.0,1970.0,1637.0,1509.0,1301.0,989.0,786.0,626.0,436.0,428.0,31549.0,IA,2021,AL
Feminino,2615.0,2659.0,2725.0,2936.0,3202.0,2954.0,2747.0,2419.0,2263.0,1938.0,1812.0,1464.0,1192.0,970.0,774.0,563.0,672.0,33905.0,IA,2021,AL
Masculino,22893.0,23785.0,24450.0,25657.0,25041.0,21036.0,18525.0,17131.0,15068.0,13315.0,12632.0,10151.0,8064.0,6917.0,5642.0,3815.0,3913.0,258035.0,RA,2018,AL
Feminino,21857.0,22437.0,23132.0,24990.0,24804.0,22092.0,20118.0,18032.0,15940.0,14165.0,13197.0,10753.0,8978.0,7713.0,6127.0,4521.0,5365.0,264221.0,RA,2018,AL
Masculino,22348.0,22780.0,22800.0,22758.0,24284.0,22176.0,19152.0,17449.0,16285.0,13650.0,13367.0,11434.0,8821.0,7075.0,5941.0,4211.0,4338.0,258869.0,RA,2021,AL
Feminino,21329.0,21478.0,21161.0,21927.0,24095.0,22740.0,20995.0,18831.0,17234.0,14751.0,14012.0,11969.0,9537.0,8101.0,6569.0,4955.0,6070.0,265754.0,RA,2021,AL
Masculino,15258.0,16189.0,17465.0,18821.0,18378.0,15923.0,14872.0,14062.0,12382.0,10773.0,9763.0,7647.0,5889.0,4995.0,3855.0,2470.0,2489.0,191231.0,U,2018,AL
Feminino,14567.0,15589.0,17164.0,18795.0,18663.0,17473.0,17373.0,16494.0,14655.0,12882.0,11675.0,9390.0,7866.0,6501.0,4869.0,3498.0,4009.0,211463.0,U,2018,AL
