codigo,populacao_residente,Óbitos_p/Residênc,Estado,UF,Tipo,taxa_bruta_mortalidade,taxa_analfabetismo,rede_de_esgoto,tx_n_distribuicao_agua,tx_banheiro,tx_coleta_lixo,Municipio,tx_rede_agua
210015,12137,78,Maranhão,MA,RuralAdjacente,6.4266293153168,25.7,0.06,12.62,83.94,45.41,Água Doce do Maranhão,76.43
210090,39040,242,Maranhão,MA,RuralAdjacente,6.198770491803279,27.62,0.1,45.41,72.9,34.75,Araioses,42.83
210150,18979,138,Maranhão,MA,Urbano,7.271194478107382,16.52,0.85,22.13,86.57,64.26,Barão de Grajaú,53.87
210210,34111,199,Maranhão,MA,RuralAdjacente,5.8338952244144116,23.18000000000001,0.78,54.8,71.27,23.76,Brejo,30.98
210220,29672,151,Maranhão,MA,RuralAdjacente,5.088972768940415,23.64,0.0,72.39,48.26,27.5,Buriti,19.45
210300,156877,1083,Maranhão,MA,Urbano,6.903497644651542,17.52,12.11,12.31,88.56,72.05,Caxias,77.84
210630,13801,87,Maranhão,MA,RuralAdjacente,6.303891022389682,23.76000000000001,0.85,7.78,87.3,61.77,Magalhães de Almeida,87.26
210660,32166,152,Maranhão,MA,RuralAdjacente,4.7254865385811105,24.61,1.21,10.95,80.33,43.51,Matões,81.13
210667,8817,31,Maranhão,MA,RuralAdjacente,3.5159351253260747,29.34,0.0,55.89,64.58,15.96,Milagres do Maranhão,34.74
210780,31237,181,Maranhão,MA,RuralAdjacente,5.794410474757499,25.7,20.59,16.81,66.64,40.1,Parnarama,74.82
211010,23947,128,Maranhão,MA,RuralAdjacente,5.345137177934605,24.09,0.17,30.52,79.57,45.42,Santa Quitéria do Maranhão,58.59
211023,10559,54,Maranhão,MA,RuralAdjacente,5.114120655365091,28.2,0.2,15.92,77.51,24.73,Santana do Maranhão,80.12
211060,26937,173,Maranhão,MA,RuralAdjacente,6.422392991053199,22.45999999999999,0.72,41.07,88.18,45.43,São Bernardo,42.64
211090,12056,80,Maranhão,MA,RuralAdjacente,6.635700066357001,25.16,0.13,32.41,67.44,31.25,São Francisco do Maranhão,54.65
211220,174420,1268,Maranhão,MA,Urbano,7.269808508198602,11.68000000000001,18.47,5.76,94.94,83.2,Timon,91.96
211250,53334,275,Maranhão,MA,RuralAdjacente,5.156185547680654,22.34,2.14,32.35,82.56,56.81,Tutóia,58.16
220005,6420,43,Piauí,PI,RuralAdjacente,6.697819314641745,16.89,0.05,73.33,86.73,35.97,Acauã,25.5
220010,4936,55,Piauí,PI,RuralAdjacente,11.142625607779578,21.03,4.99,1.51,98.43,81.13,Agricolândia,97.5
220020,17569,142,Piauí,PI,Urbano,8.08241789515624,15.06,15.1,5.63,98.16,97.31,Água Branca,91.99
220025,6819,53,Piauí,PI,RuralAdjacente,7.772400645255903,33.61,15.53,44.08,86.52,60.74,Alagoinha do Piauí,54.49
220027,4634,38,Piauí,PI,RuralAdjacente,8.200258955545966,29.20999999999999,0.69,14.67,92.85,71.16,Alegrete do Piauí,61.0
